YEAR,TONNAGE,MONTH_STRING,CUSTOMER_NM_Modified
2022,0.68,July, 07 MORGAN H
2022,0.37,July, 10 CAMPUS C
2022,1.16,July, 06 SALISBUR
2022,0.0,July, 02 DANIELS
2022,2.36,July, 06 SALISBUR
2022,0.49,July, 07 MORGAN H
2022,0.0,July, 02 DANIELS
2022,1.58,July, 10 CAMPUS C
2022,1.41,July, 06 SALISBUR
2022,0.8,July, 10 CAMPUS C
2022,1.17,July, 10 CAMPUS C
2022,0.49,July, 10 CAMPUS C
2022,0.23,July, 04 FOUNDERS
2022,1.14,July, 06 SALISBUR
2022,0.68,July, 01 MORGAN H
2022,0.16,July, 04 FOUNDERS
2022,1.06,July, 07 MORGAN H
2022,0.24,July, 04 FOUNDERS
2022,0.15,July, 04 FOUNDERS
2022,8.01,July, 08 RECYCLE
2022,0.8,July, 10 CAMPUS C
2022,0.78,July, 10 CAMPUS C
2022,3.7,July, 02 DANIELS
2022,1.07,July, 01 MORGAN H
2022,0.39,July, 10 CAMPUS C
2022,1.07,July, 07 MORGAN H
2022,0.89,August, 06 SALISBUR
2022,0.19,August, 04 FOUNDERS
2022,0.56,August, 10 CAMPUS C
2022,8.55,August, 03 FARADAY
2022,2.79,August, 12 RECYCLE
2022,2.2,August, 07 MORGAN H
2022,5.36,August, 08 RECYCLE
2022,1.05,August, 07 MORGAN H
2022,2.41,August, 10 CAMPUS C
2022,0.23,August, 04 FOUNDERS
2022,0.51,August, 01 MORGAN H
2022,0.0,August, 07 MORGAN H
2022,4.06,August, 10 CAMPUS C
2022,1.16,August, 04 FOUNDERS
2022,1.93,August, 06 SALISBUR
2022,1.61,August, 06 SALISBUR
2022,2.05,August, 07 MORGAN H
2022,1.79,August, 06 SALISBUR
2022,0.55,August, 10 CAMPUS C
2022,1.38,August, 10 CAMPUS C
2022,2.53,August, 09 EAST HAL
2022,1.18,August, 10 CAMPUS C
2022,1.75,August, 10 CAMPUS C
2022,0.45,August, 10 CAMPUS C
2022,0.0,August, 02 DANIELS
2022,0.53,August, 04 FOUNDERS
2022,1.06,August, 01 MORGAN H
2022,1.3,August, 07 MORGAN H
2022,2.47,September, 06 SALISBUR
2022,3.41,September, 07 MORGAN H
2022,3.64,September, 06 SALISBUR
2022,1.6,September, 10 CAMPUS C
2022,1.32,September, 04 FOUNDERS
2022,1.56,September, 04 FOUNDERS
2022,0.0,September, 08 RECYCLE
2022,1.74,September, 04 FOUNDERS
2022,4.14,September, 06 SALISBUR
2022,3.38,September, 07 MORGAN H
2022,1.76,September, 10 CAMPUS C
2022,2.73,September, 06 SALISBUR
2022,3.42,September, 10 CAMPUS C
2022,2.69,September, 07 MORGAN H
2022,1.67,September, 01 MORGAN H
2022,5.01,September, 07 MORGAN H
2022,1.25,September, 10 CAMPUS C
2022,4.2,September, 06 SALISBUR
2022,4.41,September, 10 CAMPUS C
2022,1.45,September, 04 FOUNDERS
2022,1.0,September, 04 FOUNDERS
2022,2.89,September, 09 EAST HAL
2022,4.6,September, 10 CAMPUS C
2022,1.65,September, 01 MORGAN H
2022,3.14,September, 07 MORGAN H
2022,0.0,September, 03 FARADAY
2022,1.66,September, 10 CAMPUS C
2022,8.04,September, 02 DANIELS
2022,1.56,September, 10 CAMPUS C
2022,1.84,September, 01 MORGAN H
2022,0.0,September, 07 MORGAN H
2022,6.88,September, 10 CAMPUS C
2022,4.63,September, 10 CAMPUS C
2022,1.8,October, 04 FOUNDERS
2022,3.01,October, 06 SALISBUR
2022,2.3,October, 06 SALISBUR
2022,1.54,October, 01 MORGAN H
2022,2.55,October, 07 MORGAN H
2022,4.32,October, 10 CAMPUS C
2022,3.08,October, 07 MORGAN H
2022,0.84,October, 04 FOUNDERS
2022,4.62,October, 10 CAMPUS C
2022,1.27,October, 04 FOUNDERS
2022,2.65,October, 06 SALISBUR
2022,1.77,October, 10 CAMPUS C
2022,1.05,October, 10 CAMPUS C
2022,1.58,October, 04 FOUNDERS
2022,2.54,October, 07 MORGAN H
2022,0.82,October, 01 MORGAN H
2022,6.66,October, 08 RECYCLE
2022,1.26,October, 10 CAMPUS C
2022,1.47,October, 10 CAMPUS C
2022,3.41,October, 06 SALISBUR
2022,3.72,October, 10 CAMPUS C
2022,3.13,October, 10 CAMPUS C
2022,1.38,October, 07 MORGAN H
2022,3.33,November, 06 SALISBUR
2022,8.06,November, 02 DANIELS
2022,2.88,November, 06 SALISBUR
2022,1.63,November, 04 FOUNDERS
2022,4.29,November, 10 CAMPUS C
2022,1.69,November, 04 FOUNDERS
2022,3.68,November, 08 RECYCLE
2022,2.93,November, 07 MORGAN H
2022,1.54,November, 04 FOUNDERS
2022,3.68,November, 10 CAMPUS C
2022,1.3,November, 10 CAMPUS C
2022,2.51,November, 07 MORGAN H
2022,4.52,November, 10 CAMPUS C
2022,2.57,November, 09 EAST HAL
2022,1.54,November, 01 MORGAN H
2022,1.49,November, 04 FOUNDERS
2022,3.51,November, 06 SALISBUR
2022,2.89,November, 07 MORGAN H
2022,3.07,November, 06 SALISBUR
2022,3.0,November, 07 MORGAN H
2022,1.32,November, 01 MORGAN H
2022,8.63,November, 03 FARADAY
2022,1.55,November, 10 CAMPUS C
2022,1.59,November, 10 CAMPUS C
2022,1.43,November, 10 CAMPUS C
2022,3.93,November, 10 CAMPUS C
2022,1.45,December, 10 CAMPUS C
2022,2.53,December, 10 CAMPUS C
2022,0.14,December, 10 CAMPUS C
2022,1.75,December, 09 EAST HAL
2022,3.58,December, 07 MORGAN H
2022,1.32,December, 10 CAMPUS C
2022,1.25,December, 06 SALISBUR
2022,0.86,December, 10 CAMPUS C
2022,1.18,December, 01 MORGAN H
2022,1.01,December, 04 FOUNDERS
2022,0.28,December, 04 FOUNDERS
2022,2.67,December, 07 MORGAN H
2022,1.65,December, 04 FOUNDERS
2022,4.46,December, 10 CAMPUS C
2022,4.32,December, 06 SALISBUR
2022,0.89,December, 01 MORGAN H
2022,2.09,December, 06 SALISBUR
2022,2.39,December, 10 CAMPUS C
2022,1.27,December, 04 FOUNDERS
2022,5.53,December, 08 RECYCLE
2022,1.71,December, 07 MORGAN H
2022,4.34,December, 10 CAMPUS C
2022,1.11,December, 04 FOUNDERS
2022,2.76,December, 06 SALISBUR
2022,0.71,December, 10 CAMPUS C
2022,1.85,December, 07 MORGAN H
2022,3.33,December, 06 SALISBUR
2022,0.0,December, 07 MORGAN H
2022,4.84,December, 12 RECYCLE
2022,0.73,December, 10 CAMPUS C
